Org District,AC Name,Org Mandal,Local Body
Thiruvananthapuram North,Attingal,Kilimanoor,Pulimath Gramapanchayath
Thiruvananthapuram North,Vamanapuram,Palode,Pangode Gramapanchayath
Thiruvananthapuram North,Vamanapuram,Vamanapuram,Kallara Grampanchayat
Thiruvananthapuram North,Vamanapuram,Palode,Peringamala Gramapanchayath
Thiruvananthapuram North,Vamanapuram,Palode,Nanniyode Gramapanchayath
Thiruvananthapuram North,Vamanapuram,Vamanapuram,Pullampara Gramapanchayath
Thiruvananthapuram North,Vamanapuram,Vamanapuram,Nellanad Gramapanchayath
Thiruvananthapuram North,Nedumangad,Pothencode,Manickal Gramapanchayath
Thiruvananthapuram North,Vamanapuram,Vamanapuram,Vamanapuram Gramapanchayath
Thiruvananthapuram North,Vamanapuram,Vamanapuram,Panavoor Gramapanchayat
Thiruvananthapuram North,Vamanapuram,Palode,Anad
Thiruvananthapuram North,Nedumangad,Pothencode,Vembayam Gramapanchayat
Thiruvananthapuram North,Nedumangad,Nedumangad,Karakulam Gramapanchayath
Thiruvananthapuram South,Aruvikkara,Aryanadu,Tholicode Gramapanchayath
Thiruvananthapuram South,Aruvikkara,Aryanadu,Uzhamalakkal
Thiruvananthapuram South,Aruvikkara,Aruvikkara,Kuttichal Grampanchayat
Thiruvananthapuram South,Aruvikkara,Aryanadu,Aryanad
Thiruvananthapuram South,Aruvikkara,Aruvikkara,Poovachal Gramapanchayath
Thiruvananthapuram South,Aruvikkara,Aruvikkara,Vellanad
Thiruvananthapuram North,Chirayinkeezhu,Chirayinkeezhu,Azhoor
Thiruvananthapuram North,Nedumangad,Pothencode,Pothencode Gramapanchayath
Thiruvananthapuram North,Chirayinkeezhu,Chirayinkeezhu,Mangalapuram Gramapanchayath
Palakkad West,Pattambi,Pattambi,Vallapuzha Gramapanchayat
Thiruvananthapuram North,Chirayinkeezhu,Chirayinkeezhu,Kadinamkulam
Thiruvananthapuram North,Nedumangad,Pothencode,Andoorkonam
Thiruvananthapuram South,Kovalam,Kovalam,Kalliyoor Gramapanchayath
Thiruvananthapuram South,Kattakkada,Malayinkeezhu,Vilavoorkkal Gramapanchayat
Thiruvananthapuram South,Kattakkada,Kattakkada,Vilappil Gramapanchayat
Thiruvananthapuram South,Kattakkada,Malayinkeezhu,Malayinkeezhu Grampanchayat
Thiruvananthapuram South,Kattakkada,Malayinkeezhu,Pallichal Gramapanchayat
Thiruvananthapuram South,Kovalam,Balaramapuram,Balaramapuram Gramapanchayath
Thiruvananthapuram South,Kattakkada,Kattakkada,Maranalloor Gramapanchayat
Thiruvananthapuram South,Kovalam,Kovalam,Venganoor Gramapanchayat
Thiruvananthapuram South,Kovalam,Balaramapuram,Kottukal Gramapanchayat
Idukki North,Thodupuzha,Thodupuzha,Purapuzha Gramapanchayath
Thiruvananthapuram South,Kovalam,Balaramapuram,Karumkulam Gramapanchayath
Thiruvananthapuram South,Kovalam,Balaramapuram,Kanjiramkulam Gramapanchayath
Thiruvananthapuram South,Neyyattinkara,Neyyattinkara,"Athiyannur, Thiruvananthapuram"
Thiruvananthapuram South,Parasala,Vellarada,Amboori
Thiruvananthapuram South,Parasala,Vellarada,Kallikkadu Gramapanchayath
Thiruvananthapuram South,Parasala,Vellarada,Ottasekaramangalam Gramapanchayath
Thiruvananthapuram South,Parasala,Vellarada,Aryancode
Thiruvananthapuram South,Parasala,Parassala,Perumkadavila Gramapanchayath
Thiruvananthapuram South,Parasala,Parassala,Kollayil Gramapanchayath
Idukki North,Devikulam,Devikulam,Kanthalloor Gramapanchayath
Thiruvananthapuram South,Parasala,Vellarada,Vellarada Gramapanchayath
Thiruvananthapuram South,Kovalam,Balaramapuram,Poovar Grampanchayat
Thiruvananthapuram South,Neyyattinkara,Neyyattinkara,Thirupuram Gramapanchayath
Thiruvananthapuram South,Neyyattinkara,Kulathoor,Chenkal Gramapanchayat
Thiruvananthapuram South,Neyyattinkara,Kulathoor,Kulathoor Grampanchayat
Thiruvananthapuram South,Neyyattinkara,Kulathoor,Karode Gramapanchayath
Thiruvananthapuram South,Parasala,Parassala,Parassala Gramapanchayath
Ernakulam East,Piravom,Piravom,Kalady Gramapanchayath
Kollam East,Kottarakkara,Kottarakkara,Kottarakara
Kollam West,Karunagappally,Karunagappally,Karunagappally
Kollam East,Punaloor,Punalur,Punalur
Kollam West,Chathannoor,Chathannoor,Chirakkara Gramapanchayath
Kollam West,Chathannoor,Chathannoor,Adichanalloor Gramapanchayat
Kannur South,Peravoor,Peravoor,Muzhakkunnu
