Zone,Org District,AC,Org Mandal,LBName,Target
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Chenneerkara Gramapanchayath,NA
Alappuzha,Alappuzha South,Mavelikkara,Charummoodu,Chunakkara grama panchayat,Win
Alappuzha,Alappuzha North,Cherthala,Cherthala,Cherthala,NA
Palakkad,Wayanad,Mananthavady,Panamaram,Thondernad,Opposition
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Thazhakkara grama panchayat,Win
Alappuzha,Alappuzha South,Chenganur,Mannar,Chennithala Thripperumthura gram panchayat,Win
Alappuzha,Alappuzha South,Kayamkulam,Kayamkulam,Kayamkulam,NA
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Chingoli gram panchayat,NA
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Mavelikkara Thekkakkara Grama Panchayat,Win
Alappuzha,Alappuzha South,Haripad,Haripad,Cheruthana Grama Panchayath,Win
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Arattupuzha,NA
Alappuzha,Alappuzha South,Haripad,Haripad,Karuvatta Grama Panchayath,Win
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Cheppad Grama Panchayat,NA
Alappuzha,Alappuzha South,Kayamkulam,Kayamkulam,Kandalloor,NA
Alappuzha,Alappuzha South,Chenganur,Chengannur,Venmony,Win
Alappuzha,Alappuzha South,Chenganur,Chengannur,Mulakkuzha grama panchayat,Win
Alappuzha,Alappuzha South,Chenganur,Chengannur,Thiruvnavandoor Grama Panchayat,Win
Alappuzha,Alappuzha South,Kayamkulam,Chettikulangara,Bharanikkavu Gram Panchayat,NA
Alappuzha,Alappuzha South,Mavelikkara,Charummoodu,Palamel gram panchayat,NA
Alappuzha,Alappuzha South,Chenganur,Chengannur,Pandanad grama panchayat,Win
Alappuzha,Alappuzha South,Chenganur,Mannar,Budhanoor Grama Panchayat,Win
Alappuzha,Alappuzha South,Chenganur,Mannar,Mannar grama panchayat,NA
Alappuzha,Alappuzha South,Chenganur,Mannar,Puliyoor panchayath,Win
Alappuzha,Alappuzha South,Chenganur,Chengannur,Ala,Win
Alappuzha,Alappuzha South,Chenganur,Mannar,Cheriyanadu panchayat,Win
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Neelamperoor gram panchayat,Win
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Veeyapuram Grama Panchayath,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Omalloor Gramapanchayath,Win
Alappuzha,Alappuzha South,Haripad,Haripad,Pallippadu panchayat,NA
Alappuzha,Alappuzha North,Ambalappuzha,Ambalappuzha,Purakkad Grama Panchayat,Win
Alappuzha,Alappuzha South,Haripad,Haripad,Kumarapuram gram panchayat,NA
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Trikkunnappuzha grama panchayath,NA
Alappuzha,Alappuzha North,Ambalappuzha,Mullakkal,Punnapra North grama panchayat,Win
Alappuzha,Alappuzha North,Ambalappuzha,Ambalappuzha,Ambalapuzha South,Win
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Ezhumattoor Gramapanchayath,Win
Alappuzha,Alappuzha North,Cherthala,Muhamma,Thanneermukkam grama panchayat,Win
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Thottappuzhassery Gramapanchayath,Win
Alappuzha,Alappuzha North,Aroor,Aroor,Kodamthuruthu gram panchayat,Win
Alappuzha,Alappuzha North,Aroor,Aroor,Kuthiyathodu grama panchayat,Win
Alappuzha,Alappuzha North,Aroor,Aroor,Ezhupunna gram panchayat,Win
Alappuzha,Alappuzha North,Aroor,Panavally,Thaikkattussery Grama Panchayath,Win
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Veliyanadu grama panchayat,NA
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Ramankari Grama Panchayat,NA
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Muttar Grama Panchayat,NA
Alappuzha,Alappuzha North,Aroor,Panavally,Panavalli grama panchayat,Win
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Pulinkunnu grama panchayat,NA
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Kavalam gram panchayat,NA
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Nedumudi village panchayat,NA
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Thalavady Grama Panchayat,NA
Alappuzha,Alappuzha North,Aroor,Panavally,Chennam Pallipuram grama panchayat,Win
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Champakulam Grama Panchayath,NA
Alappuzha,Alappuzha North,Kuttanad,Kuttanadu,Kainakari gram panchayat,NA
Alappuzha,Alappuzha North,Kuttanad,Thakazhy,Edathwa grama panchayat,NA
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Ayarkunnam,Win
Alappuzha,Kottayam West,Kottayam,Panachikadu,Panachikadu Gramapanchayath,Win
Alappuzha,Idukki South,Udumbanchola,Vandanmedu,Karunapuram Gramapanchayath,Opposition
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,Puramattam Gramapanchayath,NA
Alappuzha,Kottayam East,Changanassery,Madappally,Kurichy Gramapanchayath,Win
Alappuzha,Alappuzha North,Cherthala,Muhamma,Muhamma gram panchayat,NA
Alappuzha,Alappuzha North,Alappuzha,Mararikkulam,Mararikulam South Grama Panchayat,NA
Alappuzha,Alappuzha North,Alappuzha,Mararikkulam,Mannancherry Grama Panchayat,NA
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Koruthode Gramapanchayath,Win
Alappuzha,Kottayam East,Poonjar,Mundakkayam,Koottickal Gramapanchayath,Win
Alappuzha,Alappuzha North,Cherthala,Cherthala,Kadakarappally Grama Panchayat,NA
Palakkad,Palakkad East,Nenmara,Nenmara,Pudunagaram Gramapanchayath,Opposition
Alappuzha,Alappuzha North,Cherthala,Muhamma,Cherthala south Grama Panchayat,NA
Alappuzha,Alappuzha North,Cherthala,Muhamma,Kanjikuzhi grama panchayat,NA
Alappuzha,Alappuzha North,Cherthala,Cherthala,Vayalar Grama Panchayath,NA
Alappuzha,Alappuzha North,Cherthala,Cherthala,Pattanakkad Grama Panchayat,NA
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Karukachal Gramapanchayath,Win
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Vellavoor Gramapanchayat,Win
Alappuzha,Kottayam East,Kanjirappally,Kanjirappally,Chirakkadavu Gramapanchayath,Win
Alappuzha,Kottayam East,Changanassery,Changanassery,Thrikkodithanam Gramapanchayath,Win
Alappuzha,Alappuzha North,Aroor,Aroor,Aroor,NA
Alappuzha,Kottayam East,Changanassery,Madappally,Madappally Gramapanchayath,Win
Palakkad,Malappuram Central,Kondotty,Vazhakkad,Vazhayoor,Opposition
Alappuzha,Kottayam West,Kaduthuruthy,Kaduthuruthy,Kidangoor Gramapanchayath,Win
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Pallickathodu Gramapanchayath,Win
Alappuzha,Alappuzha North,Aroor,Panavally,Arukutty,NA
Alappuzha,Kottayam East,Poonjar,Poonjar,Erattupetta,NA
Alappuzha,Alappuzha North,Aroor,Panavally,Perumbalam Grama Panchayat,Opposition
Alappuzha,Kottayam West,Pala,Pala,Pala,NA
Alappuzha,Kottayam East,Puthuppally,Ayarkunnam,Kooroppada Gramapanchayath,Win
Alappuzha,Kottayam West,Pala,Bharananganam,Elikkulam Gramapanchayath,Win
Alappuzha,Kottayam East,Poonjar,Poonjar,Thidanadu Gramapanchayath,Win
